snippet,intent
"text_calendar.formatyear(theyear, w=2)","Return a m-column calendar for an entire year as a multi-line string . Optional parameters `w` , `l` , and `c` are for date column width , lines per week , and number of spaces between month columns , respectively . With arguments `theyear`."
"random.triangular(low, high, mode)",Return a random floating point number N such that `low` < = N < = `high` and with the specified `mode` between those bounds .
datetime.__str__(),"For a datetime instance d , str ( d ) is equivalent to d.isoformat ( ' ' ) ."
turtle.screensize(bg=None),"If no arguments are given , return current ( canvaswidth , canvasheight ) . With arguments `bg`."
"xmlparser.AttlistDeclHandler(elname, attname, type, default, required)","Called for each declared attribute for an element `type` . `elname` is the name of the element to which the declaration applies and `attname` is the name of the attribute declared . The attribute type is a string passed as type ; the possible values are 'CDATA ' , 'ID ' , 'IDREF ' , … `default` gives the default value for the attribute used when the attribute is not specified by the document instance , or None if there is no default value ( # IMPLIED values ) . If the attribute is `required` to be given in the document instance , required will be true ."
"textwrap.indent(text, prefix)",Add `prefix` to the beginning of selected lines in `text` .
curses.keyname(k),Return the name of the key numbered `k` as a bytes object .
"logging.handlers.TimedRotatingFileHandler(filename, interval=1)",Returns a new instance of the TimedRotatingFileHandler class . On rotating it also sets the `filename` suffix . Rotating happens based on the product of `when` and `interval` .
x in s,Test x for membership in s.
"message.set_type(type, header='Content-Type', requote=True)","Set the main `type` and subtype for the Content-Type `header` . If `requote` is False , this leaves the existing header ’ s quoting as is , otherwise the parameters will be quoted ( the default ) ."
types.resolve_bases(bases),"Resolve MRO entries dynamically as specified by PEP 560 . This function looks for items in `bases` that are not instances of type , and returns a tuple where each such object that has an __mro_entries__ method is replaced with an unpacked result of calling this method ."
range(stop),"Rather than being a function , range is actually an immutable sequence type , as documented in Ranges and Sequence Types — list , tuple , range . With arguments `stop`."
"Request.add_header(key, val)","Add another header to the request . Note that there can not be more than one header with the same name , and later calls will overwrite previous calls in case the `key` collides . With arguments `val`."
"bisect.bisect_left(a, x, lo=0)",Locate the insertion point for `x` in `a` to maintain sorted order . The parameters `lo` and `hi` may be used to specify a subset of the list which should be considered ; by default the entire list is used .
"isinstance(object, classinfo)","Return true if the `object` argument is an instance of the `classinfo` argument , or of a ( direct , indirect or virtual ) subclass thereof ."
datetime.timedelta(minutes=0),All arguments are optional and default to 0 . With arguments `minutes`.
"smtpd.SMTPChannel(server, conn, addr)",Create a new SMTPChannel object which manages the communication between the `server` and a single SMTP client . `conn` and `addr` are as per the instance variables described below .
"cgitb.text(info, context=5)","This function handles the exception described by `info` ( a 3-tuple containing the result of sys.exc_info ( ) ) , formatting its traceback as text and returning the result as a string . The optional argument `context` is the number of lines of context to display around the current line of source code in the traceback ; this defaults to 5 ."
TarFile.list(members=None),"Print a table of contents to sys.stdout . If `verbose` is False , only the names of the `members` are printed ."
"base64.a85encode(b, pad=False)",Encode the bytes-like object `b` using Ascii85 and return the encoded bytes . `pad` controls whether the input is padded to a multiple of 4 before encoding .
"ctypes.memset(dst, c, count)","Same as the standard C memset library function : fills the memory block at address `dst` with `count` bytes of value c. dst must be an integer specifying an address , or a ctypes instance . With arguments `c`."
ascii(object),"As repr ( ) , return a string containing a printable representation of an `object` , but escape the non-ASCII characters in the string returned by repr ( ) using \x , \u or \U escapes ."
"window.getstr(y, x, n)","Read a bytes object from the user , with primitive line editing capacity . With arguments `y`, `x`, `n`."
"max(arg1, arg2, *args)","Return the largest item in an iterable or the largest of two or more arguments . With arguments `arg1`, `arg2`, `*args`."
x in s,Test x for membership in s.
"array.insert(i, x)",Insert a new item with value `x` in the array before position `i` .
timeit.timeit(timer=<default timer>),"Create a Timer instance with the given statement , `setup` code and `timer` function and run its timeit ( ) method with `number` executions ."
exec(object),This function supports dynamic execution of Python code . `object` must be either a string or a code object .
"turtle.onclick(fun, add=None)",Bind `fun` to mouse-click events on this turtle . With arguments `add`.
"traceback.print_exception(etype, value, tb)","Print exception information and stack trace entries from traceback object `tb` to `file` . With arguments `etype`, `value`."
"Widget.tk.createfilehandler(file, mask, func)",Registers the `file` handler callback function `func` . The `mask` argument is an ORed combination of any of the three constants below .
window.border(ls),Draw a border around the edges of the window . With arguments `ls`.
"NNTP.xover(start, end)",Send an XOVER command . `start` and `end` are article numbers delimiting the range of articles to select .
"filecmp.cmp(f1, f2, shallow=True)","Compare the files named `f1` and `f2` , returning True if they seem equal , False otherwise . If `shallow` is true , files with identical os.stat ( ) signatures are taken to be equal ."
stream_reader.read(size),Decodes data from the stream and returns the resulting object . The `size` argument indicates the approximate maximum number of encoded bytes or code points to read for decoding .
"xml.etree.ElementTree.fromstringlist(sequence, parser=None)",Parses an XML document from a `sequence` of string fragments . `parser` is an optional parser instance .
aifc.getmark(id),Return the tuple as described in getmarkers ( ) for the mark with the given `id` .
iter(d),Return an iterator over the keys of the dictionary . With arguments `d`.
stats.sort_stats(*keys),This method modifies the Stats object by sorting it according to the supplied criteria . With arguments `*keys`.
