snippet,intent
"colorsys.hsv_to_rgb(h, s, v)","Convert the color from HSV coordinates to RGB coordinates . With arguments `h`, `s`, `v`."
gc.get_referrers(*objs),Return the list of objects that directly refer to any of objs . With arguments `*objs`.
"DTDHandler.unparsedEntityDecl(name, publicId, systemId, ndata)","Handle an unparsed entity declaration event . With arguments `name`, `publicId`, `systemId`, `ndata`."
collections.UserString(seq),Class that simulates a string object . The instance ’ s contents are initially set to a copy of `seq` .
test.support.script_helper.kill_python(p),Run the given subprocess.Popen process until completion and return stdout . With arguments `p`.
"NNTP.xover(start, end, file=None)",Send an XOVER command . `start` and `end` are article numbers delimiting the range of articles to select . With arguments `file`.
datetime.time(tzinfo=None),"All arguments are optional . `tzinfo` may be None , or an instance of a tzinfo subclass ."
"fileinput.input(files=None, bufsize=0)","Create an instance of the FileInput class . With arguments `files`, `bufsize`."
"base64.b32decode(s, casefold=False)",Decode the Base32 encoded bytes-like object or ASCII string `s` and return the decoded bytes . Optional `casefold` is a flag specifying whether a lowercase alphabet is acceptable as input .
"IMAP4.partial(message_num, message_part, start, length)","Fetch truncated part of a message . With arguments `message_num`, `message_part`, `start`, `length`."
"bytes.maketrans(from, to)",This static method returns a translation table usable for bytes.translate ( ) that will map each character in `from` into the character at the same position in `to` ; from and to must both be bytes-like objects and have the same length .
"xmlparser.StartElementHandler(name, attributes)","Called for the start of every element . `name` is a string containing the element name , and `attributes` is the element attributes ."
importlib.__import__(name),An implementation of the built-in __import__ ( ) function . With arguments `name`.
"widget.set(item, value=None)","With one argument , returns a dictionary of column/value pairs for the specified `item` . With two arguments , returns the current `value` of the specified `column` ."
"chunk.seek(pos, whence=0)",Set the chunk ’ s current position . The `whence` argument is optional and defaults to 0 ( absolute file positioning ) ; other values are 1 ( seek relative to the current position ) and 2 ( seek relative to the file ’ s end ) . With arguments `pos`.
mimetypes.guess_type(url),"Guess the type of a file based on its filename or URL , given by `url` ."
"_c_data.in_dll(library, name)","This method returns a ctypes type instance exported by a shared `library` . `name` is the name of the symbol that exports the data , library is the loaded shared library ."
test.support.fs_is_case_insensitive(directory),Return True if the file system for `directory` is case-insensitive .
"test.support.detect_api_mismatch(ref_api, other_api, ignore=())","Returns the set of attributes , functions or methods of `ref_api` not found on `other_api` , except for a defined list of items to be ignored in this check specified in `ignore` ."
"window.touchline(start, count)","Pretend `count` lines have been `changed` , starting with line `start` ."
TarInfo.fromtarfile(tarfile),Read the next member from the TarFile object `tarfile` and return it as a TarInfo object .
HTMLParser.handle_endtag(tag),This method is called to handle the end `tag` of an element ( e.g .
"imghdr.what(filename, h=None)","Tests the image data contained in the file named by `filename` , and returns a string describing the image type . If optional `h` is provided , the filename is ignored and h is assumed to contain the byte stream to test ."
ensurepip.bootstrap(verbosity=0),Bootstraps pip into the current or designated environment . `verbosity` controls the level of output to sys.stdout from the bootstrapping operation .
cgitb.text(info),"This function handles the exception described by `info` ( a 3-tuple containing the result of sys.exc_info ( ) ) , formatting its traceback as text and returning the result as a string ."
array.append(x),Append a new item with value `x` to the end of the array .
fileinput.input(inplace=False),Create an instance of the FileInput class . With arguments `inplace`.
"Template.copy(infile, outfile)",Copy `infile` to `outfile` through the pipe .
set.union(*others),Return a new set with elements from the set and all others . With arguments `*others`.
textbox.edit(validator),"This is the entry point you will normally use . If `validator` is supplied , it must be a function ."
curses.textpad.Textbox(win),Return a textbox widget object . The `win` argument should be a curses window object in which the textbox is to be contained .
@functools.lru_cache(typed=False),"Decorator to wrap a function with a memoizing callable that saves up to the `maxsize` most recent calls . If `typed` is set to true , function arguments of different types will be cached separately ."
"base64.b32decode(s, casefold=False)",Decode the Base32 encoded bytes-like object or ASCII string `s` and return the decoded bytes . Optional `casefold` is a flag specifying whether a lowercase alphabet is acceptable as input .
"warnings.simplefilter(action, lineno=0, append=False)","Insert a simple entry into the list of warnings filter specifications . With arguments `action`, `lineno`, `append`."
key in d,"Return True if d has a key key, else False."
"wsgiref.handlers.BaseCGIHandler(stdin, stdout, stderr, environ)","Similar to CGIHandler , but instead of using the sys and os modules , the CGI environment and I/O streams are specified explicitly . With arguments `stdin`, `stdout`, `stderr`, `environ`."
"winsound.PlaySound(sound, flags)","Call the underlying PlaySound ( ) function from the Platform API . The `sound` parameter may be a filename , a system sound alias , audio data as a bytes-like object , or None . Its interpretation depends on the value of `flags` , which can be a bitwise ORed combination of the constants described below ."
queue_listener.dequeue(block),"Dequeues a record and return it , optionally blocking . With arguments `block`."
"urllib.parse.unquote(string, encoding='utf-8')","Replace % xx escapes by their single-character equivalent . `string` must be a str . The optional `encoding` and `errors` parameters specify how to decode percent-encoded sequences into Unicode characters , as accepted by the bytes.decode ( ) method ."
"dialog.line(name, x, y, width, height)","Add and return a Line control . With arguments `name`, `x`, `y`, `width`, `height`."
